id,product_id,domain,title,category,brand,url,items,rev
1305883,allbirds.com_6859102060624,allbirds.com,Women's Tree Runners - Blizzard/Hazy Cobalt (Clarity Blue Sole),999999,allbirds,allbirds.com/products/womens-tree-runners-blizzard-hazy-cobalt,299.0,28111.769999999997
1305441,allbirds.com_6743029678160,allbirds.com,Women's Wool Breezers - Natural Black (Natural Black Sole),999999,allbirds,allbirds.com/products/womens-wool-breezers,280.0,27982.249999999993
1305482,allbirds.com_6753602502736,allbirds.com,Men's Tree Dasher 2 - Hazy Indigo (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-tree-dashers-hazy-indigo,214.0,27332.639999999996
1305665,allbirds.com_6825996517456,allbirds.com,Men's SuperLight Trainers - Pure Azure (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-superlight-trainers-pure-azure,242.0,27315.97000000001
1305863,allbirds.com_6858653892688,allbirds.com,Men's SuperLight Wool Runners - Natural Black (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-superlight-wool-runners-natural-black,241.0,27271.56000000001
1305294,allbirds.com_6682351861840,allbirds.com,Men's Tree Dasher Relay - Natural Black (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-tree-dasher-relay,212.0,26932.9
1305862,allbirds.com_6858651926608,allbirds.com,Men's Tree Runners - Stony Cream (Hazy Cocoa Sole),999999,allbirds,allbirds.com/products/mens-tree-runners-stony-cream,279.0,26298.11
1305149,allbirds.com_4826220920912,allbirds.com,Women's Wool Runner Mizzles - Dapple Grey (Cream Sole),999999,allbirds,allbirds.com/products/womens-wool-runner-mizzles-dapple-grey,421.0,25977.57
1305859,allbirds.com_6858601857104,allbirds.com,Men's SuperLight Tree Runners - Natural Black/Dark Grey (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-superlight-tree-runners-natural-black-dark-grey,237.0,25922.42
1305660,allbirds.com_6824742879312,allbirds.com,Men's Tree Dasher 2 - Pure Azure (Pure Azure Sole),999999,allbirds,allbirds.com/products/mens-tree-dashers-pure-azure,391.0,25890.239999999998
1305570,allbirds.com_6780205957200,allbirds.com,Smallbirds Wool Loungers - Big Kids - Calm Cargo (Natural White Sole),999999,allbirds,allbirds.com/products/smallbirds-wool-loungers-big-kids-calm-cargo,524.0,25577.46999999999
